Ticker,Name,Sector,Industry,Year,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,ROE,ROA,Asset_Turnover,Inventory_Days,Receivables_Days,Payables_Days,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Current_Ratio,Quick_Ratio,ROA_t+1,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Cluster,Predicted_ROA
0010.KL,IRIS Corporation Berhad,Industrials,Business Equipment & Supplies,2023-03-31,0.2400916097927314,0.0962734076492457,0.0627739192996838,0.1201848247633079,0.0634269677565099,0.0414367776945258,0.6600954370350188,41.8212817321112,93.1449876888592,69.44513598129079,0.5306925703561468,0.3467009513430057,44.90374331550802,1.9103079214436631,1.7349531825476543,0.0509990416032743,0,0,0,0,0,0,1,0,0,0,0,0.03520915
0010.KL,IRIS Corporation Berhad,Industrials,Business Equipment & Supplies,2022-03-31,0.1847981155237052,0.021152962030836,0.0161716124690146,0.0650893182992317,0.0105472058559867,0.006703195019361,0.4145038122948227,38.992017302627374,131.7212197907928,108.97349953778264,0.5734594958856005,0.3644577425635202,3.5436893203883497,1.646419625321934,1.5383792174802724,0.0414367776945258,0,0,0,0,0,0,1,0,0,0,0,0.009441373
0012.KL,Three-A Resources Berhad,Consumer Defensive,Packaged Foods,2023-12-31,0.1653435210577216,0.0898281732310586,0.0747767709285534,0.1181193116330829,0.1002126091896882,0.0892984274142513,1.194200101253006,57.90825345869897,76.51131711776162,3.72517702705652,0.122221433136851,0.108910264523478,131.8018223234624,8.139451581027668,5.670207509881423,0.0811734835902485,0,0,0,1,0,0,0,0,0,0,4,0.09218681
0012.KL,Three-A Resources Berhad,Consumer Defensive,Packaged Foods,2022-12-31,0.1339072903983895,0.064628618100446,0.0532775063685854,0.0912445992269645,0.0835358611020525,0.0689404535525137,1.2939879932737188,67.44186209568149,78.13536318395876,14.947484386420964,0.2117103499822664,0.17472026213638,111.91183294663573,4.2552977741500015,2.600634163187141,0.0892984274142513,0,0,0,1,0,0,0,0,0,0,4,0.08417209
0012.KL,Three-A Resources Berhad,Consumer Defensive,Packaged Foods,2021-12-31,0.187490666485653,0.1157918214171426,0.0902708416163222,0.1427208285251592,0.1168559241396798,0.1004055482451409,1.112269991587031,49.67475211365774,78.22637045082087,14.247425657966977,0.1638393114927782,0.1407748560088012,166.35978835978835,5.125497622172968,3.89858191129952,0.0689404535525137,0,0,0,1,0,0,0,0,0,0,4,0.0998493
0023.KL,IFCA MSC Berhad,Technology,Software—Application,2023-12-31,0.2979851867081693,0.0237752767884996,0.027268463786275,0.1399972120169904,0.0176040112196402,0.0136678198915307,0.5012317524982866,0.0,44.04929593696936,0.968327467373926,0.2879896983825956,0.2235962746784708,95.15043655953929,3.0115658515112886,3.0115658515112886,0.1049304253634257,0,0,0,0,0,0,0,0,1,0,3,0.016215267
0023.KL,IFCA MSC Berhad,Technology,Software—Application,2022-12-31,0.2444192152137905,-0.055927965604511,-0.0548360282847207,0.0382187468897374,-0.03522514327701,-0.0278098865601082,0.5071462582175564,0.0,49.21828152291808,0.7692575036552547,0.2666410271352435,0.2105103351486288,-41.22934499733484,3.0927637715848264,3.0927637715848264,0.0136678198915307,0,0,0,0,0,0,0,0,1,0,3,0.0055776006
0023.KL,IFCA MSC Berhad,Technology,Software—Application,2021-12-31,0.3223107021573785,0.0949386839961612,0.1230602822626506,0.1993122229073079,0.0764707438641594,0.0611408176924404,0.4968363193084998,0.0,41.23787482262009,0.2887463521328858,0.2507314548659448,0.2004678573409817,79.02834180744628,3.553575737131504,3.553575737131504,-0.0278098865601082,0,0,0,0,0,0,0,0,1,0,3,0.026002757
0024.KL,JAG Berhad,Industrials,Waste Management,2023-12-31,0.2409637481526639,0.0290483102656884,0.0057670758592938,0.075455623667965,0.0055828161676457,0.0038178213776404,0.6620029753012343,170.19550133498797,28.274004578143945,45.86585964129954,0.4623041822601387,0.3161477535717644,2.051693302846119,2.221107516322071,0.805171994107755,0.0190726146101835,0,0,0,0,0,0,1,0,0,0,0,0.0132907815
0024.KL,JAG Berhad,Industrials,Waste Management,2022-12-31,0.2218816352503777,0.0590414852909396,0.0378964984867137,0.0920090269413868,0.0452230463212001,0.036909159866101,0.9739464420186764,116.27760699479134,21.50102157594368,12.34790842341302,0.2252526604577355,0.1838418048189216,9.441381459620168,4.263587741625414,1.845934539291852,0.0038178213776404,0,0,0,0,0,0,1,0,0,0,0,0.025407732
